file_path,suffix,exists,file_size_bytes,is_empty,readable,num_rows,num_columns,contains_svg
results/final_evidence_completion/audits/final_completion_integrity_audit.csv,.csv,True,3232,False,True,40,3,NA
results/final_evidence_completion/audits/final_completion_integrity_audit.md,.md,True,94,False,True,NA,NA,NA
results/final_evidence_completion/audits/output_integrity_audit.csv,.csv,True,768,False,True,9,3,NA
results/final_evidence_completion/audits/output_integrity_audit.md,.md,True,122,False,True,NA,NA,NA
results/final_evidence_completion/author_code_confusion_matrix_search.md,.md,True,653,False,True,NA,NA,NA
results/final_evidence_completion/chunked_negative_ensemble.md,.md,True,367,False,True,NA,NA,NA
results/final_evidence_completion/external_dependency_audit.md,.md,True,635,False,True,NA,NA,NA
results/final_evidence_completion/external_full_corrected_benchmark.md,.md,True,234,False,True,NA,NA,NA
results/final_evidence_completion/figures/chunked_negative_ensemble.svg,.svg,True,79464,False,True,NA,NA,True
results/final_evidence_completion/figures/external_full_corrected_benchmark.svg,.svg,True,47104,False,True,NA,NA,True
results/final_evidence_completion/figures/formal_validation_low_fpr.svg,.svg,True,79933,False,True,NA,NA,True
results/final_evidence_completion/figures/grain_full_retraining_ablation.svg,.svg,True,38189,False,True,NA,NA,True
results/final_evidence_completion/figures/grain_multiseed_feature_removal.svg,.svg,True,38982,False,True,NA,NA,True
results/final_evidence_completion/final_evidence_completion_report.md,.md,True,812,False,True,NA,NA,NA
results/final_evidence_completion/final_material_experiment_completion_status.md,.md,True,1273,False,True,NA,NA,NA
results/final_evidence_completion/formal_validation_low_fpr.md,.md,True,306,False,True,NA,NA,NA
results/final_evidence_completion/grain_full_retraining_ablation.md,.md,True,386,False,True,NA,NA,NA
results/final_evidence_completion/grain_multiseed_feature_removal.md,.md,True,226,False,True,NA,NA,NA
results/final_evidence_completion/large_negative_heavy_model_completion.md,.md,True,358,False,True,NA,NA,NA
results/final_evidence_completion/official_event_boundary_audit.md,.md,True,244,False,True,NA,NA,NA
results/final_evidence_completion/remaining_experiments_completion_report.md,.md,True,570,False,True,NA,NA,NA
results/final_evidence_completion/tables/author_code_confusion_matrix_search.csv,.csv,True,722,False,True,4,4,NA
results/final_evidence_completion/tables/author_code_confusion_matrix_search.tex,.tex,True,845,False,True,NA,NA,NA
results/final_evidence_completion/tables/chunked_negative_ensemble.csv,.csv,True,6527,False,True,20,22,NA
results/final_evidence_completion/tables/chunked_negative_ensemble.tex,.tex,True,5811,False,True,NA,NA,NA
results/final_evidence_completion/tables/external_dependency_audit.csv,.csv,True,869,False,True,6,4,NA
results/final_evidence_completion/tables/external_dependency_audit.tex,.tex,True,1018,False,True,NA,NA,NA
results/final_evidence_completion/tables/external_full_corrected_benchmark.csv,.csv,True,4951,False,True,33,9,NA
results/final_evidence_completion/tables/external_full_corrected_benchmark.tex,.tex,True,5284,False,True,NA,NA,NA
results/final_evidence_completion/tables/final_material_experiment_completion_status.csv,.csv,True,887,False,True,8,4,NA
results/final_evidence_completion/tables/final_material_experiment_completion_status.tex,.tex,True,1046,False,True,NA,NA,NA
results/final_evidence_completion/tables/formal_validation_low_fpr.csv,.csv,True,12657,False,True,44,20,NA
results/final_evidence_completion/tables/formal_validation_low_fpr.tex,.tex,True,11787,False,True,NA,NA,NA
results/final_evidence_completion/tables/grain_full_retraining_ablation.csv,.csv,True,2815,False,True,9,14,NA
results/final_evidence_completion/tables/grain_full_retraining_ablation.tex,.tex,True,2517,False,True,NA,NA,NA
results/final_evidence_completion/tables/grain_multiseed_feature_removal.csv,.csv,True,11810,False,True,27,25,NA
results/final_evidence_completion/tables/grain_multiseed_feature_removal.tex,.tex,True,10300,False,True,NA,NA,NA
results/final_evidence_completion/tables/grain_multiseed_feature_removal_summary.csv,.csv,True,964,False,True,9,5,NA
results/final_evidence_completion/tables/grain_multiseed_feature_removal_summary.tex,.tex,True,689,False,True,NA,NA,NA
results/final_evidence_completion/tables/large_negative_heavy_model_completion.csv,.csv,True,23673,False,True,48,27,NA
results/final_evidence_completion/tables/large_negative_heavy_model_completion.tex,.tex,True,19764,False,True,NA,NA,NA
results/final_evidence_completion/tables/official_event_boundary_audit.csv,.csv,True,2582,False,True,28,3,NA
results/final_evidence_completion/tables/official_event_boundary_audit.tex,.tex,True,2974,False,True,NA,NA,NA
results/final_evidence_completion/tables/set01_file_fingerprint.csv,.csv,True,10975,False,True,52,6,NA
results/final_evidence_completion/tables/set01_file_fingerprint.tex,.tex,True,12316,False,True,NA,NA,NA
results/final_evidence_completion/tables/v15_dataset_alignment.csv,.csv,True,391,False,True,2,13,NA
results/final_evidence_completion/tables/v15_dataset_alignment.tex,.tex,True,570,False,True,NA,NA,NA
results/final_evidence_completion/v15_dataset_alignment.md,.md,True,262,False,True,NA,NA,NA
